2026-04-22 13:09:03,496 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.305, 1.219, 90.000)
2026-04-22 13:09:03,497 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.256, -0.171, 5766.831)
2026-04-22 13:09:03,497 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:09:49,776 | MainThread   | [INFO    ] | populate_views      |:  | Number of observations per grid cell: 18
2026-04-22 13:09:49,777 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Views...
2026-04-22 13:09:50,681 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Time: 0.903 secs
2026-04-22 13:09:50,681 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2026-04-22 13:09:50,682 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2026-04-22 13:09:55,166 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2026-04-22 13:09:55,166 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2026-04-22 13:09:58,146 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:09:58,155 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2026-04-22 13:09:58,155 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(5), np.int64(4), np.int64(9)) with prob = 0.8674340
2026-04-22 13:09:58,155 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2026-04-22 13:09:58,156 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2026-04-22 13:09:58,156 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, 0.000, 10.000)
2026-04-22 13:09:58,156 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.000, -0.000, 350.000)
