2026-04-14 12:22:51,846 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-14 12:22:53,544 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-14 12:22:53,983 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-14 12:24:34,831 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:24:34,831 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:24:34,831 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:24:34,831 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:24:34,831 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:24:34,831 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:24:34,831 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:29:25,982 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:30:53,207 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-14 12:30:53,207 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-14 12:30:56,253 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:30:56,253 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:30:56,253 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:30:56,253 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:30:56,253 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:30:56,253 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:30:56,253 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:31:01,858 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:32:36,029 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:32:36,429 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
