2026-04-14 12:30:53,207 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-14 12:30:55,466 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:30:56,084 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-14 12:33:18,285 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2026-04-14 12:36:30,823 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2026-04-14 13:15:27,688 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-14 13:15:27,689 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-15 14:20:46,706 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-15 14:20:46,707 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-15 14:20:53,189 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-15 14:20:54,183 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-15 14:20:54,794 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-15 14:25:17,890 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-15 14:25:17,891 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-15 14:25:53,652 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-15 14:25:53,652 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-15 14:25:54,885 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-15 14:25:55,496 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-15 14:30:36,117 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-15 14:30:36,118 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-15 14:30:45,364 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-15 14:30:47,788 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-15 14:30:48,401 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-15 14:34:40,349 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-15 14:34:40,349 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-15 14:40:37,865 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-15 14:40:38,474 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-15 14:40:49,374 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-15 14:40:49,375 | MainThread   | [ERROR   ] | stop                |: Plotter is not running
2026-04-15 14:40:53,614 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-15 14:40:54,222 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-15 14:46:55,510 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-15 14:46:55,511 | MainThread   | [ERROR   ] | stop                |: Plotter is not running
2026-04-15 14:47:05,784 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-15 14:47:06,814 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-15 14:47:07,427 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-15 14:50:36,891 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-15 14:50:36,892 | MainThread   | [ERROR   ] | stop                |: Plotter is not running
2026-04-22 13:09:41,269 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-22 13:09:41,269 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-22 13:09:45,178 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-22 13:09:45,181 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-22 13:09:45,793 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-22 13:11:57,136 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-22 13:11:57,137 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
