2026-01-21 19:22:36,987 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:09:64
2026-01-21 19:22:36,989 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:09:64, service UUID: 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 19:22:47,021 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 19:22:47,023 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 48BFACCB-F2FC-B972-B545-B20BBF6F1355 (name: Artemis BLE)
2026-01-21 19:22:47,921 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:09:64
2026-01-21 19:23:26,134 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:09:64
2026-01-21 19:23:26,134 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:b4:24:09:64, service UUID: 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 19:23:36,164 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 854338fb-80c2-4675-9164-9deaf5c6b0ce
2026-01-21 19:23:36,165 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 48BFACCB-F2FC-B972-B545-B20BBF6F1355 (name: Artemis BLE)
2026-01-21 19:23:37,062 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:b4:24:09:64
2026-01-21 19:23:44,543 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2026-01-21 19:23:54,437 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2026-01-21 19:24:14,518 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2026-01-21 19:24:53,755 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:b4:24:09:64
